形式语言与编译,操作系统原理i,操作系统设计专题实验,数据库系统,编译器设计专题实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理
89,96,98,88,88,90,98,92,74
66,86,92,69,79,87,83,92,74
67,82,83,72,70,76,95,92,74
61,87,92,81,73,68,77,87,74
71,78,93,77,80,77,79,86,74
73,83,92,83,85,76,98,92,74
81,80,95,68,80,81,90,91,74
69,76,92,87,69,81,87,87,74
85,80,87,83,77,69,72,73,74
67,83,98,69,79,80,83,98,74
69,86,92,81,82,74,80,87,74
70,64,92,73,77,67,90,87,74
90,77,83,76,77,79,95,87,74
60,78,92,81,69,62,70,83,74
73,80,70,80,76,75,73,87,74
60,73,93,65,79,63,85,87,74
61,86,89,66,79,68,80,87,74
77,72,92,79,85,79,100,92,74
63,78,92,70,79,76,83,76,74
72,73,30,0,96,76,0,73,74
77,82,98,89,82,87,83,87,73
0,78,98,81,96,68,96,87,73
83,80,93,77,80,77,82,86,73
87,81,86,73,70,79,63,90,73
85,75,87,86,86,71,81,87,73
74,83,98,76,90,83,98,92,73
67,84,92,76,83,85,83,92,73
67,93,93,75,80,75,85,91,73
89,82,98,85,82,77,77,92,73
60,76,30,66,81,40,0,70,73
90,79,87,86,77,71,87,87,73
67,74,92,78,80,68,85,92,73
64,79,92,76,91,74,79,79,73
63,68,92,74,78,72,95,87,73
93,84,92,77,70,77,95,79,73
66,85,98,72,82,79,92,92,73
60,75,92,70,82,78,83,92,73
68,85,92,72,78,69,79,73,73
80,66,87,81,74,70,73,87,73
64,60,87,71,70,62,66,87,73
62,69,92,70,74,60,95,76,73
0,74,92,67,0,83,83,92,73
74,83,83,65,79,66,80,75,73
77,84,98,79,77,90,83,92,72
72,87,98,68,92,76,70,79,72
51,83,92,77,80,71,70,87,72
71,88,98,64,85,81,87,87,72
72,84,92,78,90,72,85,98,72
86,87,92,78,78,80,95,83,72
65,61,92,67,83,73,83,92,72
73,69,66,72,67,77,95,87,72
68,71,92,60,75,70,81,92,72
83,84,92,85,80,75,71,98,72
79,82,83,81,72,86,75,92,72
66,80,98,75,85,81,86,79,72
74,83,98,74,91,82,88,92,72
65,88,66,66,77,74,75,73,72
66,69,92,71,75,74,83,87,72
74,78,92,84,89,83,92,76,72
62,83,92,73,88,86,76,87,72
60,72,73,63,80,60,88,81,72
83,82,79,77,85,71,83,86,71
69,82,83,67,78,64,79,87,71
71,85,92,74,85,85,79,87,71
90,87,98,79,82,87,80,92,71
75,80,92,81,90,72,95,83,71
75,77,87,79,76,73,97,98,71
73,81,92,78,79,87,83,87,71
73,86,83,78,83,72,72,87,71
75,83,98,81,85,78,83,92,71
0,89,98,79,82,79,81,83,71
75,70,87,61,66,73,72,62,71
61,78,92,76,73,87,79,87,71
78,76,87,84,78,69,80,87,71
0,84,92,79,76,81,84,87,71
